ID,list of ingedients
148,tequila  tomato  lemon  tabasco sauce  celery salt  lemon  
149,vodka  tomato  lemon  worcestershire sauce  tabasco sauce  lime  
150,vodka  blue curacao  lemonade  cherry  
151,tequila  blue curacao  lime  salt  
152,añejo rum  tia maria  vodka  orange  lemon  
153,gin  triple sec  blue curacao  bitters  maraschino cherry  lemon  
154,midori melon liqueur  jägermeister  goldschlager  
155,sweet vermouth  scotch  benedictine  lemon  
156,gin  dry vermouth  bitters  maraschino liqueur  maraschino cherry  
157,vanilla ice-cream  milk  godiva liqueur  whipped cream  caramel sauce  chocolate sauce  mini-snickers bars  
158,pineapple  passion fruit  lemon  grenadine  
159,light rum  brandy  triple sec  lime  
160,blended whiskey  lemon  powdered sugar  egg white  lemon  cherry  
161,sugar   lemon  bourbon  lemon  
162,bourbon  lemon  sugar  orange  maraschino cherry  
163,gin  triple sec  lemon  grenadine  egg white  
164,everclear  vodka  mountain dew  surge  lemon  rum  
165,sambuca  erin cream  advocaat  
166,gin  lemon  sugar syrup  creme de mure  
167,vanilla ice-cream  coca-cola  bourbon  
168,brandy  creme de cacao  light cream  nutmeg  
169,sugar  club soda  lemon  brandy  maraschino cherry  orange  
170,brandy  egg  sugar  light cream  nutmeg  
171,brandy  lemon  powdered sugar  lemon  cherry  
172,tequila  tabasco sauce  
173,grenadine  kahlua  baileys irish cream  
174,vodka  chambord raspberry liqueur  peachtree schnapps  cranberry  
175,vodka  banana liqueur  orange  peach schnapps  
176,corona  bacardi limon  
177,baileys irish cream  kahlua  sambuca  
178,vanilla ice-cream  butterscotch schnapps  milk  vodka  
179,coffee  milk  triple sec  brandy  
180,sugar  lime  cachaca  
181,lime  sugar  white rum  ice  
182,blended whiskey  lemon  lime  powdered sugar  grenadine  carbonated  
183,kahlua  galliano  soda  
184,lager  campari  
185,corona  light rum  
186,orange  vodka  sugar  
187,gin  maraschino liqueur  lemon  orange bitters  cherry  
188,gin  lemon  maraschino liqueur  orange bitters  egg yolk  
189,cocoa powder  sugar  cornstarch   milk  
190,champagne  sugar  bitters  lemon  cognac  
191,gin  tequila  vodka  white rum  triple sec  cherry grenadine  sweet and sour  club soda  
192,light rum  cherry brandy  light cream  
193,light rum  port  lemon  powdered sugar  egg white  carbonated  
194,milk  chocolate  cinnamon  egg  
195,kahlua  vodka  chocolate ice-cream  
196,chocolate  milk   
197,chocolate liqueur  milk  amaretto  
198,banana liqueur  creme de cacao  chocolate ice-cream  chocolate syrup  chocolate milk  whipped cream  cherry  banana  
199,bacardi limon  coca-cola  
200,brandy  triple sec  lemon  
201,bitters   sugar  bourbon  orange  maraschino cherry  
202,sweet vermouth  sloe gin  wine  
203,gin  grenadine  lemon  egg white  
204,coffee  vanilla extract  sugar  vodka   
205, sugar  coffee  vanilla  vodka  caramel coloring  
206,coca-cola  lemon  
207,absolut citron  lime  cointreau  cranberry  
208,cointreau  vodka  lime  cranberry  
209,cranberries  sugar  light rum  
210,cranberry  sugar  pineapple  almond flavoring  ginger ale  
211,spiced rum  ginger ale  
212,sugar   grain alcohol  peppermint extract  food coloring  
213,dark rum  lime  coca-cola  ice  
214,light rum  lime  coca-cola  
215,light rum  lime  powdered sugar  
216,whiskey  hot damn  
217,coffee  everclear  
218,demerara sugar  lime  cachaca  
219,dark rum  ginger beer  
220,cherry heering  soda  orange  ice  
221,gin  peach bitters  mint  
222,lager  cider  blackcurrant cordial  
223,vodka  dry vermouth  olive brine  lemon  olive  
224,kahlua  sambuca  baileys irish cream  
225,fruit punch  sprite  tequila  151 proof rum  
226,gin  ginger ale  lime  
227,heavy cream  milk  cinnamon  vanilla  chocolate  whipped cream  
228,scotch  dry vermouth  lemon  
229,dubonnet rouge  gin  bitters  lemon  
230,pisco  lime  pineapple syrup  st. germain  angostura bitters  pepper  lavender  
231,chocolate syrup  milk  soda  
232,egg yolk  sugar  nutmeg  sugar  milk  light rum  bourbon  vanilla extract  salt  whipping cream  egg white  
233,egg  sugar  condensed milk  milk  vanilla extract  rum  nutmeg  
234,egg  sugar  salt  milk  vanilla extract  
235,brandy  gin  sweet vermouth  carbonated  lemon  
236,apricot brandy  gin  dry vermouth  grenadine  lemon  cherry  
237,vodka  kahlua  sugar syrup  
238,firewater  absolut peppar  tabasco sauce  
239,amaretto  vodka  151 proof rum  dr. pepper  beer  
240,kahlua  sambuca  blue curacao  baileys irish cream  
241,sambuca  sarsaparilla  
242,gin  triple sec  
243,scotch  sweet vermouth  bitters  sugar syrup  
244,amaretto  creme de cacao  light cream  
245,coffee  milk  sugar  
246,jägermeister  sambuca  vodka  
247,gin  sugar  lemon  champagne  orange  maraschino cherry  
248,gin  sugar  lemon  champagne  orange  maraschino cherry  
249,cognac  amaretto  
250,vodka  raspberry liqueur  pineapple  
251,blended whiskey  benedictine  lemon  lime  lemon  lime  
252,light rum  triple sec  lime  sugar  cherry  ice  
253,light rum  lime  mint  sugar  
254,light rum  pineapple  lime  sugar  
255,apple  strawberries  sugar  lemon  apple  soda  ice  
256,yoghurt  fruit  
257,yoghurt  banana  orange  fruit  ice  
258,coffee  peach schnapps  
259,galliano  ginger ale  ice  
260,peach vodka  lemon  galliano  sirup of roses  
261,gin  brandy  sweet vermouth  club soda  
262,dark rum  vodka  triple sec  tequila  melon liqueur  mountain dew  
263,gin  tonic  lime  
264,gin  carbonated  powdered sugar  orange spiral  lemon  
265,gin  lemon  sugar  grenadine  maraschino cherry  orange  
266,gin  lemon  powdered sugar  carbonated  
267,gin  grenadine  lemon  soda  lime  
268,gin  lemon  powdered sugar   orange  
269,gin  carbonated  sugar  mint  orange  cherry  
270,gin  lemon  sugar  orange  maraschino cherry  
271,gin  grenadine  powdered sugar  pineapple  strawberries  carbonated  
272,lime  sugar  gin  bitters  club soda  
273,gin   powdered sugar  lemon  
274,cachaca  lemon  agave syrup  champagne  
275,red wine   sugar  cinnamon  cloves  lemon  
276,vodka  amaretto  heavy cream  
277,scotch  amaretto  
278,vodka  amaretto  
279,galliano  triple sec  orange  cream  
280,malibu rum  peach schnapps  blue curacao  sweet and sour  
281,grapes  lemon  pineapple  
282,gin  triple sec  pineapple  grenadine  pineapple  
283,green creme de menthe  creme de cacao  light cream  
284,cider  lager  blue curacao  
285,kahlua  151 proof rum  grenadine  
286,amaretto  jägermeister  kahlua  milk  
287,whisky  baileys irish cream  coffee  
288,spiced rum  ginger ale  lime  ice  
289,vodka  galliano  orange  
290,light rum  pineapple  lemon  
291,gin  triple sec  pineapple  
292,rum  grapefruit  maraschino liqueur  lime  
293,hot damn  tea  
294,scotch  sweet vermouth  orange bitters  olive  
295,grape  carbonated soft drink  sherbet  sherbet  
296,sugar  corn syrup  coffee  vanilla extract   vodka  
297,lemon  brandy  ginger ale  bitters  
298,chocolate  butter  vanilla extract  half-and-half  marshmallows  
299,irish whiskey  baileys irish cream  coffee  
300,vodka  iced tea  lemon  
301,coffee  sugar   milk  
302,kahlua  coffee  
303,lime  gin  aperol  
304,light rum  blended whiskey  lemon  powdered sugar  carbonated  
305,lime  brown sugar  passion fruit  ginger ale  ice  
306,irish whiskey  coffee  sugar  whipped cream  
307,scotch  half-and-half  condensed milk  coconut syrup  chocolate syrup  
308,baileys irish cream  bourbon  vodka  orange  
309,vodka  kahlua  coca-cola  guinness stout  
310,irish whiskey  peach brandy  orange  sweet and sour  orange  cherry  
311,apple brandy  grenadine  lime  
312,ice  tennessee whiskey  vanilla extract  coca-cola  
313,jack daniels  amaretto  
314,baileys irish cream  chambord raspberry liqueur  sugar syrup  sugar  
315,coffee liqueur  light rum  ice  milk  
316,rum  coffee   whipped cream  
317,blended whiskey  lemon  powdered sugar  port  egg white  carbonated  
318,vodka  jello   
319,blackberry brandy  anis  
320,gin  green chartreuse  yellow chartreuse  
321,gin  vodka  grenadine  lime  sugar  sugar syrup  soda  
322,bourbon  lemon  sugar  club soda  maraschino cherry  orange  
323,milk  chocolate syrup  mint syrup  
324,vodka  triple sec  lime  
325,coffee  grain alcohol  
326,bourbon  benedictine  
327,bourbon  benedictine  lemon  
328,ginger  lemon   
329,kahlua  brandy  coffee  
330,creme de cassis  champagne  
331,creme de cassis  champagne  
332,cranberry vodka  apfelkorn  schweppes russchian  apple  ice  
333,kiwi liqueur  bitter lemon  ice  
334,kiwi  papaya  
335,151 proof rum  kool-aid  
336,vodka  amaretto  sloe gin  triple sec  cranberry  
337,kool-aid  vodka  
338,absolut kurant  tea  sugar  
339,gin  light cream  powdered sugar  lemon  egg white  carbonated  
340,yoghurt   cumin seed  salt  mint  
341,mango  yoghurt  sugar   
342,yoghurt   sugar  salt  lemon  
343,yoghurt   salt  asafoetida  
344,yoghurt  ice  sugar  lime  salt  
345,absolut vodka  cointreau  lemon  
346,galliano  absolut citron  lemon  sugar  151 proof rum  
347,ginger   lemon  sugar  cayenne pepper  
348,lime  sugar  soda  lime  
349,corona  bacardi limon  
350,scotch  drambuie  dry vermouth  lemon  
351,gin  maraschino liqueur  orange bitters  
352,sweet vermouth  gin  
353,carbonated  gin  dry vermouth  powdered sugar  orange spiral  lemon  
354,vodka  tequila  light rum  gin  coca-cola  lemon  
355,vodka  light rum  gin  tequila  lemon  coca-cola  
356,vodka  lime  angostura bitters  tonic  ice  
357,dark rum  tia maria  
358,beer  amaretto  orange  
359,light rum  orgeat syrup  triple sec  sweet and sour  cherry  
360,malibu rum  tropicana  cranberry  
361,mango  orange  
362,sweet vermouth  bourbon  angostura bitters  ice  maraschino cherry  orange  
363,tequila  triple sec  lime  salt  
364,gin  dry vermouth  triple sec  orange bitters  cherry  
365,gin  dry vermouth  olive  
366,light rum  pineapple  maraschino liqueur  grenadine  maraschino cherry  
367, tea  ginger  cardamom  cloves  cinnamon  black pepper  sugar  milk  
368,espresso  honey  cocoa powder  
369,151 proof rum  pina colada mix  daiquiri mix  
370,sugar  cocoa powder  salt   milk  vanilla extract  
371,bourbon  dark rum  heavy cream  
372,kahlua  baileys irish cream  goldschlager  heavy cream  coffee  
373,baileys irish cream  white creme de menthe  cream  
374,champagne  orange  
375,brandy  light rum  bourbon  lemon  powdered sugar  carbonated  
376,coffee  chambord raspberry liqueur  cocoa powder  whipped cream  
377,light rum  lime  sugar  mint  soda  
378,mint  lemon  dark rum  club soda  angostura bitters  
379,gin  benedictine  orange  grenadine  
380,light rum  grapefruit  bitters  
381,absinthe  tequila  grenadine  
382,vodka  lime  ginger ale  
383,goldschlager  butterscotch schnapps  milk  
384,southern comfort  orange  pepsi cola  
385, sugar  cloves  cinnamon  lemon  red wine  brandy  
386,rum  vodka  gin  blue curacao  sour mix  lemon-lime soda  
387,gin  campari  sweet vermouth  
388,absolut citron  grand marnier  lemon  club soda  
389,blended whiskey  lemon  sugar  red wine  lemon  cherry  
390,cocoa powder  sugar  vanilla extract  milk  
391,baileys irish cream  frangelico  milk  
392,bourbon  angostura bitters  sugar   
393,vodka  triple sec  orange  
394,cherry brandy  gin  orange  ginger ale  
395,spiced rum  grenadine  orange  sour mix  
396,milk  chocolate  orange  espresso  nutmeg  
397,orange  rum  vodka  cream  ice  
398,lemon  orange  sugar syrup  soda  
399,vodka  kahlua  baileys irish cream  vanilla ice-cream  oreo cookie  
400,creme de cacao  amaretto  triple sec  vodka  light cream  
401,whiskey  beer  lemonade  ice  
402,gin  apricot brandy  orange  
403,light rum  coconut milk  pineapple  
404,ginger  pineapple  
405,bitters  gin  
406,gin  grenadine  light cream  egg white  
407,sprite  pink lemonade  vodka  
408,everclear  vodka  peach schnapps  orange  cranberry  
409,pisco  lemon  sugar  ice  
410,dark rum  orgeat syrup  orange  pineapple  
411,vodka  cherry liqueur  cranberry  orange  
412,gin  creme de cacao  
413,grenadine  green creme de menthe  
414,port  brandy  
415,port  light cream  powdered sugar  egg  nutmeg  
416,brandy  port  egg yolk  
417,orange  apple  pineapple  ice  
418,light rum  brandy  lemon  raspberry syrup  
419,light rum  sherry  lime  
420,coffee brandy  lime vodka  sherry  
421,red wine  grenadine  lemon-lime soda  
422,dry vermouth  gin  benedictine  
423,dark rum  kahlua  light cream  nutmeg  
424,kahlua  midori melon liqueur  baileys irish cream  
425,black sambuca  orange  
426,rum  vodka  tequila  gin  triple sec  chambord raspberry liqueur  midori melon liqueur  malibu rum  
427,beer  7-up  
428,sugar syrup  lemon  ginger ale  
429,raspberry vodka  lemon-lime soda  ice  
430,crown royal  amaretto  cranberry  
431,dry vermouth  gin  apricot brandy  lemon  grenadine  powdered sugar  
432,frangelico  crown royal  
433,gin  sweet and sour  egg  coca-cola  
434,crown royal  peach schnapps  chambord raspberry liqueur  cranberry  
435,gin  lemon  powdered sugar  egg  carbonated  
436,gin  cranberry  grenadine  
437,sugar  club soda  lemon  dark rum  maraschino cherry  orange  
438,rum  lemon-lime soda  lemon  
439,light rum  milk  powdered sugar  nutmeg  
440,light rum  151 proof rum  powdered sugar  bitters   lime  
441,rum  ginger ale  fruit punch  orange  ice  
442,malibu rum  blackberry brandy  orange  pineapple  cranberry  
443,light rum  orange  
444,light rum  lemon  sugar  orange  maraschino cherry  
445,rum  powdered sugar  lemon   
446,vodka  creme de cassis  sugar syrup  lemon  
447,scotch  drambuie  lemon  
448,grapefruit  gin  salt  
449,vodka  creme de banane  grenadine  orange  
450,red wine  sugar  orange  lemon  cloves  cinnamon  
451,red wine  sugar  lemon  orange  apple  brandy  soda  
452,ricard  sugar  peychaud bitters   bourbon  lemon  
453,brandy  amaretto  light cream  
454,scotch  brandy  curacao  orange  mint  
455,scotch  lime  powdered sugar  lemon  cherry  
456,johnnie walker  honey  angelica root  fennel seeds  lemon  
457,vodka  baileys irish cream  kahlua  
458,vodka  orange  
459,vodka  cranberry  grapefruit  
460,vodka  peach schnapps  cranberry  grapefruit  
461,light rum  anisette  grenadine  lemon  
462,lemonade   vodka  
463,sherry  powdered sugar  egg  milk  nutmeg  
464,sherry  light cream  powdered sugar  egg  nutmeg  
465,jim beam  jack daniels  wild turkey  
466,cognac  cointreau  lemon  
467,brandy  triple sec  lemon  
468,cherry brandy  grenadine  gin  sweet and sour  carbonated  cherry  
469,sloe gin  dry vermouth  orange bitters  
470,red wine  peach schnapps  pepsi cola  orange  
471,lager  cider  
472,lager  cider  blackcurrant squash  
473,advocaat  lemonade  lemon  ice  
474,brandy  anisette  
475,151 proof rum  malibu rum  pineapple  orange  grenadine  cherries  
476,milk  chocolate  cinnamon  egg yolk  
477,peach nectar  orange  brown sugar  cinnamon  cloves  lime  
478,coffee  cinnamon  
479,prosecco  campari  soda  
480,brandy  white creme de menthe  
481,apricot brandy  orange  sweet and sour  
482,strawberry schnapps  light rum  lime  powdered sugar  strawberries  
483,lemon  sugar  strawberries   
484,strawberry schnapps  tequila  triple sec  lemon  strawberries  salt  
485,strawberries  honey   
486,pineapple  club soda  orange  lemon  berries  champagne  
487,ouzo  baileys irish cream  gin  grand marnier  
488,coffee  aquavit  sugar  
489,milk  banana  honey  
490,red wine  sugar   apple  orange  lime  lemon  fresca  
491,godiva liqueur  milk  
492,grand marnier  coffee  
493,coffee  jack daniels  amaretto  whipped cream  
494,tequila  lemon  grenadine  egg white  ginger ale  
495,tequila  lemon  powdered sugar  lemon  cherry  
496,tequila  orange  grenadine  
497,tequila  tabasco sauce  
498,yukon jack  cherry brandy  southern comfort  sweet and sour  
499,kahlua  irish cream  amaretto  151 proof rum  cream  
500,coffee  coriander  cardamom  sugar  whipping cream  ice  
501,coffee  sugar  cream  cardamom  
502,tea   condensed milk  ice  mint  
503,creme de cacao  blue curacao  light rum  
504,scotch  wine  orange  
505, brown sugar  coffee  rum  vanilla extract  
506,gin  lemon  sugar  club soda  maraschino cherry  orange  
507,tomato  lemon  celery salt  
508,tequila  lime  agave syrup  
509,dry vermouth  gin  anis  bitters  orange  
510,wild turkey  amaretto  pineapple  
511,dry vermouth  gin  maraschino liqueur  anis  orange bitters  cherry  
512,apricot brandy  orange  orange bitters  
513,tequila  tomato  orange  lime  sugar syrup  salt  
514,light rum  maple syrup  lemon  
515,dry vermouth  creme de cassis  carbonated  
516,gin  vodka  lillet blanc  
517,light rum  sweet vermouth  lemon  powdered sugar  egg white  
518,dark rum  cherry brandy  
519,gin  sweet vermouth  brandy  
520,vodka  lemon  grape  powdered sugar  orange  
521,vodka  tonic  
522,vodka  half-and-half  limeade  ice  nutmeg  
523,vodka  dry vermouth  olive  
524,vodka  schweppes russchian  
525,triple sec  gin  pineapple  
526,blended whiskey  lemon  powdered sugar  cherry  lemon  
527,scotch  wine  
528,gin  triple sec  lemon  
529,vodka  coffee liqueur  light cream  
530,ice  tequila  cream of coconut  lime  
531,red wine  lemon-lime soda  ice  
532,red wine  lemon  orange  orange  pineapple  
533,white rum  galliano  triple sec  lime  
534,yoghurt  fruit  ice  
535,sambuca  root beer  ice  
536,jägermeister  root beer  
537,vermouth  apple  
538,zima  chambord raspberry liqueur  
539,midori melon liqueur  zima  
540,peachtree schnapps  surge  
541,chambord raspberry liqueur  vodka  soda  
542,amaretto  rum  kool-aid  
543,cointreau  lemon  ice  lemon  
544,beer  root beer  lemonade  coca-cola  7-up  creme de cassis  lemon  
545,vodka  ouzo  
546,sambuca  baileys irish cream  white creme de menthe  
